Epoch 201/300 | Total   0.8306 | CE   0.3738 | KL   0.6526
Epoch 202/300 | Total   0.8321 | CE   0.3788 | KL   0.6447
Epoch 203/300 | Total   0.8348 | CE   0.3837 | KL   0.6390
Epoch 204/300 | Total   0.8358 | CE   0.3860 | KL   0.6344
Epoch 205/300 | Total   0.8379 | CE   0.3911 | KL   0.6276
Epoch 206/300 | Total   0.8394 | CE   0.3948 | KL   0.6218
Epoch 207/300 | Total   0.8404 | CE   0.3991 | KL   0.6146
Epoch 208/300 | Total   0.8423 | CE   0.4048 | KL   0.6067
Epoch 209/300 | Total   0.8440 | CE   0.4094 | KL   0.6002
Epoch 210/300 | Total   0.8456 | CE   0.4139 | KL   0.5937
Epoch 211/300 | Total   0.8470 | CE   0.4193 | KL   0.5859
Epoch 212/300 | Total   0.8476 | CE   0.4242 | KL   0.5775
Epoch 213/300 | Total   0.8493 | CE   0.4288 | KL   0.5713
Epoch 214/300 | Total   0.8516 | CE   0.4340 | KL   0.5650
Epoch 215/300 | Total   0.8526 | CE   0.4402 | KL   0.5558
Epoch 216/300 | Total   0.8538 | CE   0.4456 | KL   0.5479
Epoch 217/300 | Total   0.8556 | CE   0.4508 | KL   0.5412
Epoch 218/300 | Total   0.8570 | CE   0.4563 | KL   0.5336
Epoch 219/300 | Total   0.8582 | CE   0.4630 | KL   0.5242
Epoch 220/300 | Total   0.8597 | CE   0.4688 | KL   0.5164
Epoch 221/300 | Total   0.8608 | CE   0.4764 | KL   0.5058
Epoch 222/300 | Total   0.8616 | CE   0.4825 | KL   0.4969
Epoch 223/300 | Total   0.8627 | CE   0.4896 | KL   0.4871
Epoch 224/300 | Total   0.8646 | CE   0.4960 | KL   0.4793
Epoch 225/300 | Total   0.8648 | CE   0.5033 | KL   0.4682
Epoch 226/300 | Total   0.8667 | CE   0.5111 | KL   0.4588
Epoch 227/300 | Total   0.8673 | CE   0.5185 | KL   0.4484
Epoch 228/300 | Total   0.8693 | CE   0.5269 | KL   0.4385
Epoch 229/300 | Total   0.8692 | CE   0.5346 | KL   0.4269
Epoch 230/300 | Total   0.8708 | CE   0.5430 | KL   0.4166
Epoch 231/300 | Total   0.8708 | CE   0.5513 | KL   0.4043
Epoch 232/300 | Total   0.8721 | CE   0.5598 | KL   0.3939
Epoch 233/300 | Total   0.8730 | CE   0.5707 | KL   0.3798
Epoch 234/300 | Total   0.8728 | CE   0.5796 | KL   0.3669
Epoch 235/300 | Total   0.8737 | CE   0.5883 | KL   0.3558
Epoch 236/300 | Total   0.8742 | CE   0.5990 | KL   0.3419
Epoch 237/300 | Total   0.8754 | CE   0.6101 | KL   0.3283
Epoch 238/300 | Total   0.8761 | CE   0.6203 | KL   0.3154
Epoch 239/300 | Total   0.8761 | CE   0.6315 | KL   0.3004
Epoch 240/300 | Total   0.8764 | CE   0.6424 | KL   0.2865
Epoch 241/300 | Total   0.8771 | CE   0.6540 | KL   0.2720
Epoch 242/300 | Total   0.8773 | CE   0.6666 | KL   0.2561
Epoch 243/300 | Total   0.8774 | CE   0.6787 | KL   0.2406
Epoch 244/300 | Total   0.8778 | CE   0.6921 | KL   0.2239
Epoch 245/300 | Total   0.8769 | CE   0.7040 | KL   0.2078
Epoch 246/300 | Total   0.8779 | CE   0.7171 | KL   0.1926
Epoch 247/300 | Total   0.8771 | CE   0.7295 | KL   0.1761
Epoch 248/300 | Total   0.8768 | CE   0.7407 | KL   0.1618
Epoch 249/300 | Total   0.8768 | CE   0.7522 | KL   0.1476
Epoch 250/300 | Total   0.8761 | CE   0.7621 | KL   0.1346
Epoch 251/300 | Total   0.8762 | CE   0.7729 | KL   0.1216
Epoch 252/300 | Total   0.8757 | CE   0.7825 | KL   0.1093
Epoch 253/300 | Total   0.8757 | CE   0.7916 | KL   0.0983
Epoch 254/300 | Total   0.8753 | CE   0.7999 | KL   0.0879
Epoch 255/300 | Total   0.8749 | CE   0.8070 | KL   0.0788
Epoch 256/300 | Total   0.8741 | CE   0.8134 | KL   0.0702
Epoch 257/300 | Total   0.8737 | CE   0.8187 | KL   0.0634
Epoch 258/300 | Total   0.8734 | CE   0.8235 | KL   0.0573
Epoch 259/300 | Total   0.8731 | CE   0.8279 | KL   0.0517
Epoch 260/300 | Total   0.8723 | CE   0.8315 | KL   0.0465
Epoch 261/300 | Total   0.8719 | CE   0.8348 | KL   0.0421
Epoch 262/300 | Total   0.8715 | CE   0.8375 | KL   0.0386
Epoch 263/300 | Total   0.8713 | CE   0.8400 | KL   0.0353
Epoch 264/300 | Total   0.8709 | CE   0.8421 | KL   0.0323
Epoch 265/300 | Total   0.8705 | CE   0.8442 | KL   0.0296
Epoch 266/300 | Total   0.8704 | CE   0.8462 | KL   0.0271
Epoch 267/300 | Total   0.8698 | CE   0.8474 | KL   0.0250
Epoch 268/300 | Total   0.8698 | CE   0.8489 | KL   0.0232
Epoch 269/300 | Total   0.8693 | CE   0.8499 | KL   0.0215
Epoch 270/300 | Total   0.8690 | CE   0.8510 | KL   0.0199
Epoch 271/300 | Total   0.8685 | CE   0.8516 | KL   0.0185
Epoch 272/300 | Total   0.8681 | CE   0.8522 | KL   0.0175
Epoch 273/300 | Total   0.8684 | CE   0.8534 | KL   0.0164
Epoch 274/300 | Total   0.8677 | CE   0.8536 | KL   0.0154
Epoch 275/300 | Total   0.8677 | CE   0.8543 | KL   0.0145
Epoch 276/300 | Total   0.8678 | CE   0.8551 | KL   0.0137
Epoch 277/300 | Total   0.8674 | CE   0.8554 | KL   0.0129
Epoch 278/300 | Total   0.8671 | CE   0.8557 | KL   0.0123
Epoch 279/300 | Total   0.8671 | CE   0.8562 | KL   0.0117
Epoch 280/300 | Total   0.8667 | CE   0.8563 | KL   0.0111
Epoch 281/300 | Total   0.8667 | CE   0.8567 | KL   0.0106
