Token 4 (id=45): bits = 0.000, entropy = 0.002
Token 5 (id=54): bits = 0.984, entropy = 1.002
Token 6 (id=3): bits = 1.560, entropy = 2.519
Token 7 (id=3): bits = 0.000, entropy = 0.001
Token 8 (id=52): bits = 0.000, entropy = 0.001
Token 9 (id=50): bits = 1.005, entropy = 2.799
Token 10 (id=2): bits = -0.000, entropy = 0.000
Token 1 (id=8): bits = 1.443, entropy = 2.755
Token 2 (id=54): bits = 0.332, entropy = 0.733
Token 3 (id=30): bits = 0.818, entropy = 1.236
Token 4 (id=30): bits = 0.000, entropy = 0.000
Token 5 (id=52): bits = 0.087, entropy = 0.322
Token 6 (id=19): bits = 0.459, entropy = 1.804
Token 7 (id=19): bits = 0.000, entropy = 0.002
Token 8 (id=53): bits = 0.000, entropy = 0.000
Token 9 (id=31): bits = 1.864, entropy = 3.428
Token 10 (id=2): bits = -0.000, entropy = 0.000
